Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
net.sourceforge.atunes.gui.images.FavoriteImageIcon,35,2,6,7,2,4,1.333333333,0.666666667,0,2,3
net.sourceforge.atunes.gui.images.FilterImageIcon,25,2,9,7,2,7,1.5,0.75,0,2,2
net.sourceforge.atunes.gui.images.FolderImageIcon,16,1,5,6,2,4,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.GenreImageIcon,24,1,8,7,2,7,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.IconCache,60,6,25,9,1,19,0.6,0.5,0,16,3
net.sourceforge.atunes.gui.images.IconGenerator,46,7,14,9,0,12,0,0,0,11,0
net.sourceforge.atunes.gui.images.Images,33,2,6,4,0,4,2,1,0,5,19
net.sourceforge.atunes.gui.images.NewImageIcon,11,1,3,5,2,2,0,0.333333333,0,1,3
net.sourceforge.atunes.gui.images.NextImageIcon,27,2,14,6,2,12,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.NextTrayImageIcon,28,2,6,5,2,4,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.NormalizationImageIcon,26,1,11,8,2,10,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.PauseImageIcon,27,2,13,6,2,11,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.PauseTrayImageIcon,22,2,4,5,2,2,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.PlayImageIcon,24,2,14,6,2,12,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.PlayListImageIcon,16,1,3,4,2,2,0,0.333333333,0,1,3
net.sourceforge.atunes.gui.images.PlayListPauseStateImageIcon,10,1,3,4,2,2,0,0.333333333,0,1,3
net.sourceforge.atunes.gui.images.PlayListPlayStateImageIcon,13,1,4,4,2,3,0,0.333333333,0,1,3
net.sourceforge.atunes.gui.images.PlayListStopStateImageIcon,10,1,3,4,2,2,0,0.333333333,0,1,3
net.sourceforge.atunes.gui.images.PlayTrayImageIcon,21,2,5,5,2,3,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.PreviousImageIcon,27,2,14,6,2,12,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.PreviousTrayImageIcon,28,2,6,5,2,4,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.RadioBigImageIcon,8,1,2,3,2,1,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.RadioImageIcon,27,2,10,7,0,8,0,0,0,2,0
net.sourceforge.atunes.gui.images.RadioMediumImageIcon,8,1,2,3,2,1,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.RadioSmallImageIcon,31,2,10,8,2,8,1.5,0.75,0,2,2
net.sourceforge.atunes.gui.images.RepeatImageIcon,26,1,6,3,2,5,0,1,0,1,1
net.sourceforge.atunes.gui.images.RssBigImageIcon,9,1,3,3,2,2,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.RssImageIcon,32,3,11,4,0,8,0,0,0,3,0
net.sourceforge.atunes.gui.images.RssMediumImageIcon,9,1,3,3,2,2,0,0.5,0,1,2
net.sourceforge.atunes.gui.images.RssSmallImageIcon,36,2,7,5,2,5,1.5,0.75,0,2,2
net.sourceforge.atunes.gui.images.ShuffleImageIcon,28,1,6,3,2,5,0,1,0,1,1
net.sourceforge.atunes.gui.images.Star1ImageIcon,7,1,2,2,2,1,0,1,0,1,1
net.sourceforge.atunes.gui.images.Star2ImageIcon,7,1,2,2,2,1,0,1,0,1,1
net.sourceforge.atunes.gui.images.Star3ImageIcon,7,1,2,2,2,1,0,1,0,1,1
net.sourceforge.atunes.gui.images.Star4ImageIcon,7,1,2,2,2,1,0,1,0,1,1
net.sourceforge.atunes.gui.images.Star5ImageIcon,7,1,2,2,2,1,0,1,0,1,1
net.sourceforge.atunes.gui.images.StarImageIcon,17,2,6,5,0,4,1,0.5,0,3,4
net.sourceforge.atunes.gui.images.StopImageIcon,24,2,13,6,2,11,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.StopTrayImageIcon,16,2,4,5,2,2,1,0.5,0,2,2
net.sourceforge.atunes.gui.images.VideoImageIcon,35,1,12,6,2,11,0,0.333333333,0,2,3
net.sourceforge.atunes.gui.images.VolumeCommonImageIcon,40,6,10,2,0,4,1.2,1,0,6,2
net.sourceforge.atunes.gui.images.VolumeMaxImageIcon,12,1,6,2,2,5,0,1,0,1,1
net.sourceforge.atunes.gui.images.VolumeMedImageIcon,11,1,5,2,2,4,0,1,0,1,1
net.sourceforge.atunes.gui.images.VolumeMinImageIcon,10,1,4,2,2,3,0,1,0,1,1
net.sourceforge.atunes.gui.images.VolumeMuteImageIcon,10,1,4,2,2,3,0,1,0,1,1
net.sourceforge.atunes.gui.images.VolumeZeroImageIcon,9,1,3,2,2,2,0,1,0,1,1
net.sourceforge.atunes.gui.images.WarningImageIcon,15,1,7,6,2,6,0,0.5,0,1,2
net.sourceforge.atunes.gui.IntegerTableCellRendererCode,8,1,4,5,2,3,0,0,0,1,0
net.sourceforge.atunes.gui.javafx.AboutDialog,6,1,2,2,2,1,0,0,0,1,0
net.sourceforge.atunes.gui.javafx.AboutDialogController,118,7,48,18,1,41,0.916666667,0.785714286,0,11,10
